"Metric","Value"
"Rows Found","242"
"Products Found","54"
"Variants Found","242"
"New Products","54"
"Updated Products",""
"New Variants","242"
"Updated Variants",""
"Images Uploaded","242"
"Failed Images",""
"Time Taken","10s"
"Completed At","2026-06-26T05:17:54.248Z"
