"Metric","Value"
"Rows Found","242"
"Products Found","54"
"Variants Found","242"
"New Products",""
"Updated Products","54"
"New Variants",""
"Updated Variants","242"
"Images Uploaded",""
"Failed Images",""
"Time Taken","0s"
"Completed At","2026-06-26T06:22:35.149Z"
