"Metric","Value"
"Rows Found","254"
"Products Found","254"
"Variants Found","254"
"New Products","254"
"Updated Products",""
"New Variants","254"
"Updated Variants",""
"Images Uploaded","254"
"Failed Images",""
"Time Taken","14s"
"Completed At","2026-06-26T08:39:07.596Z"
