"Metric","Value"
"Rows Found","5303"
"Products Found","1569"
"Variants Found","5303"
"New Products","1569"
"Updated Products",""
"New Variants","5303"
"Updated Variants",""
"Images Uploaded","5303"
"Failed Images",""
"Time Taken","192s"
"Completed At","2026-06-25T10:09:53.586Z"
