"Metric","Value"
"Rows Found","12086"
"Products Found","3752"
"Variants Found","12086"
"New Products","3752"
"Updated Products",""
"New Variants","12086"
"Updated Variants",""
"Images Uploaded","12084"
"Failed Images",""
"Time Taken","377s"
"Completed At","2026-06-26T09:23:35.463Z"
