"Metric","Value"
"Rows Found","34073"
"Products Found","12951"
"Variants Found","34073"
"New Products","12951"
"Updated Products",""
"New Variants","34073"
"Updated Variants",""
"Images Uploaded","34067"
"Failed Images",""
"Time Taken","1598s"
"Completed At","2026-06-26T09:09:42.040Z"
