"Metric","Value"
"Rows Found","242"
"Products Found","54"
"Variants Found","242"
"New Products",""
"Updated Products","54"
"New Variants","242"
"Updated Variants",""
"Images Uploaded","242"
"Failed Images",""
"Time Taken","8s"
"Completed At","2026-06-26T06:24:26.086Z"
