"Metric","Value"
"Rows Found","133"
"Products Found","133"
"Variants Found","133"
"New Products","133"
"Updated Products",""
"New Variants","133"
"Updated Variants",""
"Images Uploaded","133"
"Failed Images",""
"Time Taken","8s"
"Completed At","2026-06-26T08:40:59.904Z"
