"Metric","Value"
"Rows Found","1422"
"Products Found","454"
"Variants Found","1422"
"New Products","454"
"Updated Products",""
"New Variants","1422"
"Updated Variants",""
"Images Uploaded","1343"
"Failed Images","79"
"Time Taken","60s"
"Completed At","2026-06-26T05:43:15.790Z"
