"Metric","Value"
"Rows Found","242"
"Products Found","54"
"Variants Found","242"
"New Products","54"
"Updated Products",""
"New Variants","242"
"Updated Variants",""
"Images Uploaded","242"
"Failed Images",""
"Time Taken","20s"
"Completed At","2026-06-25T10:15:52.664Z"
