"Metric","Value"
"Rows Found","9998"
"Products Found","7120"
"Variants Found","9998"
"New Products","7120"
"Updated Products",""
"New Variants","9998"
"Updated Variants",""
"Images Uploaded","9998"
"Failed Images",""
"Time Taken","470s"
"Completed At","2026-06-26T08:38:31.632Z"
