"Metric","Value"
"Rows Found","242"
"Products Found","54"
"Variants Found","242"
"New Products",""
"Updated Products","54"
"New Variants",""
"Updated Variants","242"
"Images Uploaded",""
"Failed Images",""
"Time Taken","2s"
"Completed At","2026-06-25T10:10:34.532Z"
