"Metric","Value"
"Rows Found","1148"
"Products Found","845"
"Variants Found","1148"
"New Products","845"
"Updated Products",""
"New Variants","1148"
"Updated Variants",""
"Images Uploaded","1148"
"Failed Images",""
"Time Taken","92s"
"Completed At","2026-06-26T08:42:45.807Z"
